gpa,technical_skills,interests,career_label
82.87,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
62.01,"C++,Git",Software,Software Engineer
76.17,"Machine Learning,Python",Data,Data Scientist
70.39,"Data Analysis,SQL",Data,Data Analyst
80.09,"Machine Learning,Python",Data,Data Scientist
85.35,"Machine Learning,Python",Data,Data Scientist
61.21,"Linux/Unix,Networking",Cybersecurity,Cybersecurity Analyst
81.04,"Communication,Creativity",UX,UX Designer
65.04,"Java,Git",Software,Software Engineer
83.28,"Git,Web Development",Web,Web Developer
55.61,"Networking,Docker",Network,Network Engineer
62.22,"Machine Learning,SQL",Data,Data Scientist
74.75,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
60.38,"SQL,Data Visualization",Data,Data Analyst
69.52,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
56.84,"Java,Git",Software,Software Engineer
86.24,"Data Visualization,Data Analysis",Data,Data Analyst
82.46,"Machine Learning,Python",Data,Data Scientist
79.08,"Linux/Unix,Networking",Network,Network Engineer
79.69,"Linux/Unix,Database Management",Database,Database Administrator
96.16,"SQL,Data Analysis",Business,Business Analyst
93.31,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
70.12,"Database Management,SQL",Database,Database Administrator
77.83,"JavaScript,Git",Web,Web Developer
72.56,"Docker,Networking",Network,Network Engineer
76.9,"Linux/Unix,Database Management",Database,Database Administrator
51.97,"C++,Java",Software,Software Engineer
84.41,"Linux/Unix,SQL",Database,Database Administrator
68.97,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
73.85,"Communication,SQL",Business,Business Analyst
76.15,"Docker,Linux/Unix",Network,Network Engineer
55.15,"Networking,Docker",Network,Network Engineer
64.79,"SQL,Linux/Unix",Database,Database Administrator
76.19,"Git,Web Development",Web,Web Developer
65.33,"SQL,Machine Learning",Data,Data Scientist
90.89,"C++,Java",Software,Software Engineer
51.31,"Networking,Docker",Network,Network Engineer
64.28,"SQL,Python",Data,Data Scientist
51.14,"Git,Java",Software,Software Engineer
55.4,"SQL,Database Management",Database,Database Administrator
84.92,"Machine Learning,SQL",Data,Data Scientist
95.32,"Python,Machine Learning",Data,Data Scientist
74.69,"Communication,Creativity",UX,UX Designer
95.05,"Data Visualization,Communication",UX,UX Designer
98.84,"Data Analysis,Data Visualization",Data,Data Analyst
79.33,"Data Visualization,Creativity",UX,UX Designer
87.55,"Deep Learning,Python",Machine,Machine Learning Engineer
64.69,"Docker,Linux/Unix",Network,Network Engineer
84.04,"Database Management,SQL",Database,Database Administrator
65.2,"Data Analysis,Communication",Business,Business Analyst
80.1,"Java,Git",Software,Software Engineer
77.18,"JavaScript,Git",Web,Web Developer
57.15,"Linux/Unix,Networking",Network,Network Engineer
82.47,"Data Analysis,SQL",Business,Business Analyst
97.56,"Web Development,Git",Web,Web Developer
58.58,"Data Visualization,Data Analysis",Data,Data Analyst
77.7,"Database Management,SQL",Database,Database Administrator
59.35,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
51.6,"Linux/Unix,Networking",Network,Network Engineer
63.7,"Python,SQL",Data,Data Scientist
57.62,"SQL,Database Management",Database,Database Administrator
91.06,"SQL,Data Visualization",Data,Data Analyst
80.92,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
82.44,"Java,Git",Software,Software Engineer
59.86,"Python,Deep Learning",Machine,Machine Learning Engineer
58.91,"SQL,Python",Data,Data Scientist
96.22,"Communication,SQL",Business,Business Analyst
86.97,"C++,Java",Software,Software Engineer
63.02,"Git,JavaScript",Web,Web Developer
79.79,"SQL,Database Management",Database,Database Administrator
99.94,"Database Management,SQL",Database,Database Administrator
86.28,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
54.25,"Git,Java",Software,Software Engineer
75.23,"Communication,Data Analysis",Business,Business Analyst
63.54,"Git,Web Development",Web,Web Developer
91.32,"Data Analysis,Data Visualization",Data,Data Analyst
75.3,"Web Development,JavaScript",Web,Web Developer
77.16,"Python,SQL",Data,Data Scientist
63.66,"Python,Deep Learning",Machine,Machine Learning Engineer
85.41,"Communication,Data Analysis",Business,Business Analyst
75.68,"SQL,Linux/Unix",Database,Database Administrator
92.49,"Database Management,Linux/Unix",Database,Database Administrator
76.82,"Communication,Creativity",UX,UX Designer
92.07,"JavaScript,Git",Web,Web Developer
94.02,"Data Visualization,SQL",Data,Data Analyst
90.05,"Linux/Unix,Docker",Network,Network Engineer
77.06,"Creativity,Communication",UX,UX Designer
83.2,"Python,Machine Learning",Machine,Machine Learning Engineer
54.24,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
94.63,"Data Visualization,Communication",UX,UX Designer
62.07,"Java,Git",Software,Software Engineer
72.97,"Machine Learning,Python",Data,Data Scientist
83.27,"Git,Java",Software,Software Engineer
69.31,"SQL,Linux/Unix",Database,Database Administrator
89.34,"SQL,Database Management",Database,Database Administrator
76.74,"Java,C++",Software,Software Engineer
94.61,"Python,SQL",Data,Data Scientist
84.85,"Machine Learning,SQL",Data,Data Scientist
94.26,"Python,SQL",Data,Data Scientist
91.02,"Linux/Unix,Docker",Network,Network Engineer
86.03,"SQL,Communication",Business,Business Analyst
51.29,"Linux/Unix,Database Management",Database,Database Administrator
69.38,"Linux/Unix,Database Management",Database,Database Administrator
65.79,"Cybersecurity,Linux/Unix",Cybersecurity,Cybersecurity Analyst
98.68,"Docker,Linux/Unix",Network,Network Engineer
96.68,"SQL,Communication",Business,Business Analyst
80.57,"Web Development,JavaScript",Web,Web Developer
88.47,"SQL,Machine Learning",Data,Data Scientist
73.28,"Networking,Linux/Unix",Network,Network Engineer
60.89,"Web Development,JavaScript",Web,Web Developer
82.41,"Database Management,SQL",Database,Database Administrator
99.51,"Cybersecurity,Networking",Cybersecurity,Cybersecurity Analyst
80.19,"Python,Deep Learning",Machine,Machine Learning Engineer
79.69,"Web Development,Git",Web,Web Developer
71.01,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
65.11,"Data Visualization,SQL",Data,Data Analyst
97.82,"JavaScript,Git",Web,Web Developer
56.62,"Database Management,SQL",Database,Database Administrator
74.17,"Python,SQL",Data,Data Scientist
85.03,"SQL,Data Analysis",Data,Data Analyst
50.04,"Python,Deep Learning",Machine,Machine Learning Engineer
66.56,"Communication,Creativity",UX,UX Designer
89.75,"SQL,Machine Learning",Data,Data Scientist
86.36,"Creativity,Data Visualization",UX,UX Designer
92.68,"Linux/Unix,Networking",Network,Network Engineer
80.71,"Linux/Unix,Docker",Network,Network Engineer
67.24,"Creativity,Data Visualization",UX,UX Designer
71.43,"Machine Learning,Python",Machine,Machine Learning Engineer
60.09,"Networking,Linux/Unix",Network,Network Engineer
55.36,"Python,Deep Learning",Machine,Machine Learning Engineer
86.64,"Networking,Docker",Network,Network Engineer
96.91,"Java,C++",Software,Software Engineer
87.75,"Java,Git",Software,Software Engineer
95.05,"Cybersecurity,Networking",Cybersecurity,Cybersecurity Analyst
77.26,"Web Development,JavaScript",Web,Web Developer
80.19,"Python,Machine Learning",Machine,Machine Learning Engineer
89.82,"SQL,Data Analysis",Business,Business Analyst
77.76,"Networking,Linux/Unix",Cybersecurity,Cybersecurity Analyst
77.34,"Machine Learning,SQL",Data,Data Scientist
78.4,"Communication,Data Analysis",Business,Business Analyst
84.15,"Web Development,JavaScript",Web,Web Developer
93.41,"Data Visualization,Data Analysis",Data,Data Analyst
68.91,"Python,Machine Learning",Machine,Machine Learning Engineer
60.72,"Linux/Unix,SQL",Database,Database Administrator
73.42,"Communication,Data Analysis",Business,Business Analyst
73.78,"Machine Learning,Deep Learning",Machine,Machine Learning Engineer
61.25,"Communication,Data Visualization",UX,UX Designer
80.6,"Machine Learning,SQL",Data,Data Scientist
76.43,"SQL,Data Analysis",Business,Business Analyst
85.19,"Git,Web Development",Web,Web Developer
51.43,"Linux/Unix,Cybersecurity",Cybersecurity,Cybersecurity Analyst
63.56,"C++,Git",Software,Software Engineer
78.77,"Git,C++",Software,Software Engineer
82.54,"C++,Java",Software,Software Engineer
70.64,"SQL,Database Management",Database,Database Administrator
74.1,"JavaScript,Web Development",Web,Web Developer
67.92,"Machine Learning,Python",Data,Data Scientist
55.7,"Java,C++",Software,Software Engineer
69.68,"Deep Learning,Python",Machine,Machine Learning Engineer
60.32,"Data Visualization,SQL",Data,Data Analyst
56.54,"Database Management,Linux/Unix",Database,Database Administrator
83.8,"Java,C++",Software,Software Engineer
57.4,"Java,Git",Software,Software Engineer
85.68,"Docker,Networking",Network,Network Engineer
93.92,"Data Visualization,Data Analysis",Data,Data Analyst
87.61,"Linux/Unix,Networking",Network,Network Engineer
93.99,"Networking,Cybersecurity",Cybersecurity,Cybersecurity Analyst
95.72,"Machine Learning,Python",Data,Data Scientist
68.12,"Python,Machine Learning",Machine,Machine Learning Engineer
88.0,"Data Analysis,Communication",Business,Business Analyst
