gpa,math_score,programming_score,communication_score,technical_skills,career
2.75,73,51,91,"Network,Security",Software Engineer
3.9,60,55,56,"R,MATLAB",Web Developer
3.46,98,65,46,"JavaScript,HTML",UX Designer
3.2,57,65,64,"Python,SQL",Network Engineer
2.31,85,87,84,"Python,SQL",Software Engineer
2.31,87,60,43,"R,MATLAB",Machine Learning Engineer
2.12,89,78,75,"R,MATLAB",Machine Learning Engineer
3.73,69,75,45,"Java,C++",Data Scientist
3.2,84,72,99,"JavaScript,HTML",UX Designer
3.42,97,69,70,"JavaScript,HTML",Cybersecurity Analyst
2.04,74,76,58,"Network,Security",UX Designer
3.94,84,62,83,"Java,C++",Network Engineer
3.66,74,97,93,"Java,C++",Web Developer
2.42,78,49,78,"Java,C++",Machine Learning Engineer
2.36,67,93,66,"Java,C++",Web Developer
2.37,95,44,49,"JavaScript,HTML",Web Developer
2.61,67,75,65,"JavaScript,HTML",Web Developer
3.05,51,73,58,"Java,C++",Machine Learning Engineer
2.86,84,91,78,"Network,Security",Database Administrator
2.58,65,70,42,"Python,SQL",Data Analyst
3.22,90,49,84,"Python,SQL",Network Engineer
2.28,85,97,52,"Network,Security",Database Administrator
2.58,82,58,89,"Java,C++",Network Engineer
2.73,53,97,67,"JavaScript,HTML",Software Engineer
2.91,82,71,97,"Python,SQL",UX Designer
3.57,63,40,59,"R,MATLAB",UX Designer
2.4,70,95,67,"R,MATLAB",Business Analyst
3.03,97,44,47,"Network,Security",UX Designer
3.18,69,84,80,"Java,C++",Machine Learning Engineer
2.09,57,43,78,"Python,SQL",Cybersecurity Analyst
3.22,56,55,40,"Java,C++",Data Scientist
2.34,52,63,42,"Python,SQL",Business Analyst
2.13,66,55,52,"Network,Security",Data Scientist
3.9,82,94,67,"Network,Security",Network Engineer
3.93,97,41,96,"R,MATLAB",Data Scientist
3.62,61,88,99,"Java,C++",Data Scientist
2.61,71,67,88,"R,MATLAB",Business Analyst
2.2,71,71,64,"Java,C++",Software Engineer
3.37,95,66,95,"R,MATLAB",Web Developer
2.88,79,59,72,"JavaScript,HTML",UX Designer
2.24,87,63,77,"JavaScript,HTML",UX Designer
2.99,87,51,92,"JavaScript,HTML",Machine Learning Engineer
2.07,94,89,45,"JavaScript,HTML",Business Analyst
3.82,57,74,97,"Python,SQL",Machine Learning Engineer
2.52,76,99,83,"JavaScript,HTML",Cybersecurity Analyst
3.33,76,72,84,"Network,Security",Cybersecurity Analyst
2.62,83,72,71,"Network,Security",Machine Learning Engineer
3.04,70,90,84,"Python,SQL",Business Analyst
3.09,79,82,86,"JavaScript,HTML",Machine Learning Engineer
2.37,82,76,60,"JavaScript,HTML",UX Designer
3.94,77,51,55,"JavaScript,HTML",Database Administrator
3.55,96,42,93,"R,MATLAB",Data Analyst
3.88,82,40,60,"Java,C++",Data Scientist
3.79,54,72,50,"R,MATLAB",Data Analyst
3.2,97,79,99,"Java,C++",Business Analyst
3.84,68,49,76,"JavaScript,HTML",Data Analyst
2.18,53,82,75,"JavaScript,HTML",Cybersecurity Analyst
2.39,84,83,74,"R,MATLAB",Network Engineer
2.09,98,68,58,"R,MATLAB",Data Scientist
2.65,66,52,59,"Java,C++",Web Developer
2.78,93,51,96,"Network,Security",Business Analyst
2.54,77,70,57,"Java,C++",Data Scientist
3.66,79,85,86,"R,MATLAB",Data Analyst
2.71,78,41,80,"R,MATLAB",Cybersecurity Analyst
2.56,95,90,88,"Python,SQL",Software Engineer
3.09,55,89,53,"R,MATLAB",Database Administrator
2.28,84,74,54,"Python,SQL",Web Developer
3.6,90,62,70,"Network,Security",Database Administrator
2.15,86,56,40,"Java,C++",Data Scientist
3.97,73,65,92,"Java,C++",Cybersecurity Analyst
3.54,78,47,93,"Python,SQL",Cybersecurity Analyst
2.4,98,68,93,"Java,C++",Data Analyst
2.01,95,65,42,"R,MATLAB",UX Designer
3.63,80,49,55,"JavaScript,HTML",Data Analyst
3.41,84,65,62,"Python,SQL",UX Designer
3.46,82,73,96,"Java,C++",UX Designer
